0
hour
age
liked
num_screens
location
VerifyPhone
BankVerification
VerifyDateOfBirth
VerifyCountry
Cycle
idscreen
Alerts
VerifyMobile
VerifyHousing
ProfileEducation
Login
ProfileEmploymentLength
NetworkFailure
lainnya
jumlah_credit
